geo,country_name,year,size_class,size_label,value
ME,Montenegro,2020,50-249,Medium (50-249 employees),2.62
ME,Montenegro,2020,GE250,Large (250+ employees),0.0
ME,Montenegro,2022,10-49,Small (10-49 employees),2.85
ME,Montenegro,2022,50-249,Medium (50-249 employees),4.83
MK,North Macedonia,2020,10-49,Small (10-49 employees),7.68
MK,North Macedonia,2020,50-249,Medium (50-249 employees),8.86
MK,North Macedonia,2020,GE250,Large (250+ employees),19.65
MK,North Macedonia,2022,10-49,Small (10-49 employees),6.99
MK,North Macedonia,2022,50-249,Medium (50-249 employees),7.41
MK,North Macedonia,2022,GE250,Large (250+ employees),16.92
MT,Malta,2018,10-49,Small (10-49 employees),3.9
MT,Malta,2018,50-249,Medium (50-249 employees),5.14
MT,Malta,2018,GE250,Large (250+ employees),12.83
MT,Malta,2020,10-49,Small (10-49 employees),5.43
MT,Malta,2020,50-249,Medium (50-249 employees),8.74
MT,Malta,2020,GE250,Large (250+ employees),18.64
MT,Malta,2022,10-49,Small (10-49 employees),5.82
MT,Malta,2022,50-249,Medium (50-249 employees),11.36
MT,Malta,2022,GE250,Large (250+ employees),20.78
NL,Netherlands,2018,10-49,Small (10-49 employees),5.81
NL,Netherlands,2018,50-249,Medium (50-249 employees),14.2
NL,Netherlands,2018,GE250,Large (250+ employees),18.12
NL,Netherlands,2020,10-49,Small (10-49 employees),4.94
NL,Netherlands,2020,50-249,Medium (50-249 employees),12.86
NL,Netherlands,2020,GE250,Large (250+ employees),21.13
NL,Netherlands,2022,10-49,Small (10-49 employees),4.43
NL,Netherlands,2022,50-249,Medium (50-249 employees),11.75
NL,Netherlands,2022,GE250,Large (250+ employees),19.58
NO,Norway,2018,10-49,Small (10-49 employees),2.66
NO,Norway,2018,50-249,Medium (50-249 employees),8.91
NO,Norway,2018,GE250,Large (250+ employees),22.84
NO,Norway,2020,10-49,Small (10-49 employees),3.72
NO,Norway,2020,50-249,Medium (50-249 employees),11.51
NO,Norway,2020,GE250,Large (250+ employees),24.17
NO,Norway,2022,10-49,Small (10-49 employees),2.75
NO,Norway,2022,50-249,Medium (50-249 employees),8.86
NO,Norway,2022,GE250,Large (250+ employees),18.78
PL,Poland,2018,10-49,Small (10-49 employees),4.77
PL,Poland,2018,50-249,Medium (50-249 employees),10.89
PL,Poland,2018,GE250,Large (250+ employees),22.14
PL,Poland,2020,10-49,Small (10-49 employees),5.22
PL,Poland,2020,50-249,Medium (50-249 employees),12.02
PL,Poland,2020,GE250,Large (250+ employees),30.67
PL,Poland,2022,10-49,Small (10-49 employees),2.5
PL,Poland,2022,50-249,Medium (50-249 employees),8.47
PL,Poland,2022,GE250,Large (250+ employees),29.45
PT,Portugal,2018,10-49,Small (10-49 employees),5.77
PT,Portugal,2018,50-249,Medium (50-249 employees),16.83
PT,Portugal,2018,GE250,Large (250+ employees),22.92
